sector,region,size,multiestablishment_firm,fiscal_year,fiscal_month,fiscal_day,last_fiscal_year,legal_status,other_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,year_established,fte_started,formal_year,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,name_quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,electricity_obstacle,main_activity,main_product,percentage_sales_main_product,sales,sales_description,sales_2years_ago,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,technology_supply_chain,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,transport_obstacle_ops,customs_obstacle_ops,main_solutions,kpis,production_targets,performance_bonus,promotions,time_dismissed,main_market,competitors,foreign_technology,informal_competitors,obstacle_informal_competitors,product_innovation,product_inn_market,product_inn_description,prod_inn_description2,process_innovation,process_inn_description,process_inn_description2,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,access_land_obstacle,security,losses_fraudulent_transactions,obstacle_crime,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,obstacle_access_finance,opinion_court_system,manager_timespent_regulations,tax_inspection,online_tax_payment,tax_officials_impartial,tax_officials_transparent,raised_complaints,government_contract,percentage_informal_payments,import_lic,operating_licence,payments_votes,payments_content_decrees,payments_votes_localdecrees,public_support,other_public_support_descrip,obtacle_tax_rates,obtacle_tax_adm,obtacle_permits,obstacle_political_inestability,obstacle_corruption,obstacle_occup_safety,obstacle_healthy_reg,obstacle_environment_reg,obstacle_courts,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,foreing_languages,interpersonal_skills,managerial_skilss,it_skilss,engineering_skilss,technical_skilss,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,obstacle_labor_reg,obstacle_educated_workers,biggest_obstacle,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value
Manufacturing,South Netherlands,Small,No,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,50,Yes,1,0,0,0,Yes,100,No,Yes,2008,1,2008,10,No,51,Post-graduate degree (Master or Doctorate),Yes,No,No,,No,No,No,No,Yes,No obstacle,Manufacturing of ,Production Of Various Types Of Alarm Detectors In Many Companies And Applications,80,600000.0,Six Hundred  Thousand,650000,0,0,0,100,60,0,40,No losses,20,80,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,No,No obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,Non-managers are normally not promoted,DOES NOT APPLY (SPONTANEOUS),International,4.0,No,Yes,Minor obstacle,Yes,1,Improvements In Temperature Monitoring,Improvement Of Existing Devices,No,,,Yes,80000.0,0,0,0,No,No obstacle,Yes,No,Moderate obstacle,70,0,0,30,0,No,Yes,No,No,Yes,No,No,No obstacle,Strongly agree,2,No,Yes,Don't know (spontaneous),Don't know (spontaneous),Does not apply,No,1.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,1,9,2,7,5,6,4,8,9,8,As required,As required,Does not apply (spontaneous),As required,As required,As required,3,1,4,2,7,5,6,No full-time seasonal or temporary workers,No,Yes,3,1,4,2,7,5,6,No obstacle,Minor obstacle,Inadequately educated workforce,11,10,14,2,7,5,6,12,8,13,15,4,1,9,3,200000,0,13.0,10000.0
Manufacturing,South Netherlands,Small,No,2019,12,31,July,Shareholding company with non-traded shares or shares traded privately,,50,Yes,None (This is the first),0,0,0,No,50,No,Yes,2005,2,2005,25,No,48,Bachelorâs degree,Yes,Yes,Yes,Iso 9001,No,No,No,No,Yes,No obstacle,Manufacturing of ,Production Of Customer-Specific Generators For All Kinds Of Ships,60,2800000.0,Two Million Eight Hundred  Thousand,2100000,5,15,15,65,35,0,65,No losses,10,90,Supplier Relation Management software (SRM),No,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,Yes,No,-7,Rarely or never,International,4.0,No,No,No obstacle,Yes,1,Developing Turbines That Replace Gas Turbines And Are Less Polluting,Completely New,No,,,No,0,0,0,0,No,No obstacle,Yes,Yes,No obstacle,90,0,0,10,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Tend to agree,3,No,Yes,Strongly agree,Strongly agree,Does not apply,Yes,1.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,No obstacle,4,5,1,2,8,3,6,9,7,9,8,As required,As required,As required,As required,As required,Above required,4,5,1,2,7,3,6,3,Yes,Yes,4,5,1,2,7,3,6,Minor obstacle,Major obstacle,Inadequately educated workforce,4,5,14,2,8,3,10,13,11,6,12,15,9,1,7,340000,4000,52.0,170000.0
Other services,West Netherlands,Small,No,2019,12,31,October,Shareholding company with non-traded shares or shares traded privately,,100,Yes,3,0,0,0,No,100,No,Yes,2008,1,2008,33,No,61,Secondary/technical/vocational training,Yes,No,No,,Yes,Yes,No,No,Yes,Minor obstacle,Provide services of ,"Cab Company For Business Transportation, Airport Cab, School Transportation, Seated Patient Transportation, Wheelchair Transportation And Wedding Transportation",90,315000.0,Three Hundred Fifteen Thousand,220000,0,100,0,0,100,0,0,No losses,100,0,NOT APPLICABLE,Yes,No,No,Yes,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,Non-managers are normally not promoted,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,Too many to count,No,Yes,Major obstacle,No,0,,,Yes,Introduction Planning Software,Brand New,No,0,0,0,0,No,No obstacle,Yes,No,Minor obstacle,100,0,0,0,0,No,Yes,No,Yes,No,Yes,Yes,No obstacle,Strongly disagree,5,No,Yes,Tend to disagree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Very severe obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,No obstacle,No obstacle,No obstacle,Very severe obstacle,Major obstacle,8,1,3,9,2,4,6,7,5,6,8,As required,As required,Does not apply (spontaneous),Does not apply (spontaneous),Does not apply (spontaneous),As required,3,5,7,1,2,4,6,No full-time seasonal or temporary workers,Yes,Yes,3,5,7,1,2,4,6,Very severe obstacle,Moderate obstacle,Don't know (spontaneous),15,6,3,13,1,4,14,12,11,2,5,7,9,10,8,200000,1000,4.0,0.0
Other services,North Netherlands,Small,No,2019,12,31,August,Partnership,,100,Yes,1,0,0,0,No,100,Yes,Yes,1992,3,2000,30,No,55,Secondary/technical/vocational training,Yes,No,No,,No,No,No,No,Yes,No obstacle,Provide services of ,Professional Goods Transport. Refrigerated Transport For Fruit And Vegetables,100,1300000.0,One Million Three Hundredthousand,1200000,0,100,0,0,98,1,1,No losses,100,0,NOT APPLICABLE,No,Yes,No,No,No obstacle,Does not apply,We fixed it and took action to make sure it did not happen again,No,No,No,Non-managers are normally not promoted,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,No,No,No obstacle,Yes,0,"Purchased On-Board Computers On Which Everything Can Be Read. Working Hours, Breaks, Load, Times. Etc. Everything Can Be Read Digitally And Remotely",Everything Was Done Manually Or By Phone,No,,,No,0,0,100,100,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,Does not apply,Tend to disagree,10,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,5,8,2,3,9,1,6,4,7,8,9,As required,As required,Does not apply (spontaneous),As required,Does not apply (spontaneous),As required,5,4,2,3,6,7,1,No full-time seasonal or temporary workers,Yes,No,5,4,2,3,6,7,1,Major obstacle,No obstacle,Labor regulations,10,8,2,11,14,1,6,12,15,5,3,13,4,9,7,545000,2000,0.0,0.0
Other services,West Netherlands,Small,Yes,2019,12,31,August,Partnership,,50,Yes,None (This is the first),0,0,0,No,100,No,Yes,1999,6,1999,46,No,60,Primary,Yes,No,No,,No,No,No,No,Yes,No obstacle,Provide services of ,Repairs Both In The Garage And On The Road,75,425000.0,Four Hundred Twenty Five Thousand,450000,1,0,0,99,100,0,0,No internal shipments made (does not apply),15,85,Database of suppliers manually updated using computers with general purpose software,No,No,Yes,No,No obstacle,Does not apply,DOES NOT APPLY (SPONTANEOUS),No,No,No,Non-managers are normally not promoted,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,0.0,No,No,No obstacle,No,0,,,No,,,No,0,0,100,0,No,No obstacle,No,No,No obstacle,100,0,0,0,0,No,Yes,Yes,No,No,No,Yes,No obstacle,Strongly agree,5,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,9,3,8,1,6,5,2,7,4,3,5,Does not apply (spontaneous),As required,As required,As required,Does not apply (spontaneous),As required,4,3,6,1,7,5,2,5,No,No,4,3,6,1,7,5,2,No obstacle,No obstacle,Inadequately educated workforce,10,3,8,15,12,5,2,7,4,11,9,13,14,6,1,100000,6000,4.0,0.0
Manufacturing,North Netherlands,Small,No,2018,12,31,March,Partnership,,100,Yes,1,0,0,0,Yes,100,No,Yes,1960,7,1960,35,No,51,Secondary/diploma,Yes,No,No,,Yes,No,No,No,Yes,No obstacle,Manufacturing of ,Machinal Processing Of Self-Harvested Wood And Some Purchase And Sale Of Round Wood,80,1500000.0,One Million Five Hundred Thousand,1300000,20,30,10,40,50,20,30,No losses,70,30,Database of suppliers manually updated using computers with general purpose software,No,No,No,No,Major obstacle,Minor obstacle,DOES NOT APPLY (SPONTANEOUS),No,No,No,-7,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,4.0,No,No,No obstacle,No,0,,,No,,,No,0,0,100,100,Yes,No obstacle,No,No,No obstacle,0,100,0,0,0,No,Yes,Yes,No,No,No,Yes,No obstacle,Tend to disagree,20,No,Yes,Tend to agree,Tend to agree,Tend to agree,No,0.0,No,No,No impact,No impact,No impact,0,,Moderate obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,Moderate obstacle,Moderate obstacle,2,4,7,1,8,3,9,5,6,7,6,As required,As required,As required,As required,As required,As required,2,1,7,5,4,3,6,No full-time seasonal or temporary workers,No,Yes,2,1,7,5,4,3,6,Minor obstacle,Minor obstacle,Does not apply,2,12,15,1,10,3,13,5,11,8,14,4,9,6,7,200000,1700,24.0,3200000.0
Other services,West Netherlands,Small,Yes,2019,12,31,April,Shareholding company with non-traded shares or shares traded privately,,100,No,20,100,0,0,No,100,No,Yes,1942,2,1942,7,No,43,Secondary/diploma,Yes,Yes,Yes,Iso 9001 And 14001,No,No,No,No,Yes,No obstacle,Wholesale trade of ,"Central Heating, Cooling And Process Water Treatment For Industry, Horticulture, Utility And Residential Construction. Control And Monitoring Of System Water And Providing Solutions To Problems.",100,1600000.0,One Million Six Hundred Thousand,1400000,80,20,0,0,90,0,10,No losses,0,100,Database of suppliers manually updated using computers with general purpose software,No,No,Yes,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,15.0,No,No,Moderate obstacle,Yes,1,Providing Inexpensive Online Monitoring Tool For Measuring Water Quality In Energy Systems,Previously On-Site Water Reporting With Inspectors Taking Water Samples To The Lab,Yes,"Transition To Lean Organization, Employee Is Responsible For Output And Working Hours At The Workplace Of His Choice. Generalist Method.","Employee Was In The Office And Was One Link In The Service Process, So A Specialist.",No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Strongly agree,1,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,No obstacle,Does not apply,Minor obstacle,No obstacle,No obstacle,No obstacle,9,4,7,6,2,8,1,3,5,7,11,As required,As required,Above required,As required,Below required,Above required,6,4,7,5,2,3,1,1,Yes,Yes,6,4,7,5,2,3,1,Moderate obstacle,Major obstacle,Inadequately educated workforce,15,4,1,13,11,8,7,14,5,10,12,2,6,3,9,420000,0,0.0,0.0
Other services,West Netherlands,Small,No,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,100,Yes,1,0,0,0,No,100,No,Yes,1998,8,1998,40,No,62,Secondary/diploma,Yes,No,No,,No,No,No,No,Yes,No obstacle,Wholesale trade of ,Sale Of Tractors And Combines For Use In Agriculture And Horticulture Mainly (As Well As Maintenance And Repairs Plus A Shop For Garden Tools And Car Stuff Plus A Petrol Filling Station),70,2000000.0,Two Million,1600000,95,2,3,0,95,5,0,No losses,10,90,E-procurement with electronic orders integrated to specialized supply chain management systems,Yes,No,No,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,No,Yes,Minor obstacle,Yes,0,Expansion Of Sales With Gps Systems,Completely New,No,,,No,0,0,100,100,No,No obstacle,Yes,No,No obstacle,0,50,0,15,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Minor obstacle,Tend to agree,1,No,Yes,Strongly agree,Tend to agree,Does not apply,Yes,0.0,No,No,Does not apply,Does not apply,Minor impact,0,,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,7,3,9,4,5,2,6,8,1,8,8,As required,As required,As required,As required,Does not apply (spontaneous),Below required,7,3,1,4,5,2,6,No full-time seasonal or temporary workers,No,Yes,7,3,1,4,5,2,6,Minor obstacle,Very severe obstacle,Inadequately educated workforce,7,13,1,4,5,2,12,10,8,11,14,6,15,9,3,300000,12000,8.0,0.0
Retail services,East Netherlands,Small,No,2019,12,31,September,Partnership,,50,Yes,None (This is the first),0,0,0,No,100,No,No,1900,2,1900,20,No,37,Secondary/technical/vocational training,Yes,No,No,,No,No,No,No,Yes,No obstacle,Retail trade of ,"Sales Of Potatoes, Vegetables And Fruit",70,800000.0,Eight Hundredthousand,800000,75,0,25,0,100,0,0,No losses,60,40,Manual search of suppliers without storing supplierâs information in centralized database,No,No,Yes,No,No obstacle,Moderate obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,Yes,No,-7,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,10.0,No,Yes,Minor obstacle,No,0,,,Yes,"Introduction Of A New Website That Is Smartphone Friendly, With Associated Inventory Management",Brand New,No,0,0,100,100,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Strongly agree,10,No,Yes,Strongly agree,Strongly agree,Strongly agree,No,0.0,No,No,No impact,No impact,No impact,1,,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,9,3,1,2,7,5,4,8,6,6,6,Does not apply (spontaneous),As required,Does not apply (spontaneous),As required,Does not apply (spontaneous),As required,6,3,1,2,7,5,4,10,Yes,Yes,6,3,1,2,7,5,4,Minor obstacle,Minor obstacle,Labor regulations,6,3,1,2,7,12,4,14,5,11,13,9,15,8,10,120000,12000,12.0,0.0
Manufacturing,North Netherlands,Small,No,2019,12,31,July,Sole proprietorship,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,1994,2,1994,30,No,57,Secondary/diploma,Yes,No,No,,No,No,No,No,Yes,No obstacle,Manufacturing of ,Processing And Processing Of All Types Of Meat,60,600000.0,Six Hundred  Thousand,580000,90,0,10,0,100,0,0,No losses,100,0,Other,No,No,No,No,No obstacle,Does not apply,DOES NOT APPLY (SPONTANEOUS),No,No,No,-7,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,3.0,No,No,No obstacle,No,0,,,No,,,No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,20,70,10,0,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Strongly agree,2,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,7,8,3,6,4,9,2,1,5,4,4,Does not apply (spontaneous),As required,As required,Below required,Does not apply (spontaneous),As required,7,5,3,6,1,4,2,6,No,No,7,5,3,6,1,4,2,No obstacle,No obstacle,Does not apply,7,1,13,6,12,9,14,5,15,11,8,4,3,2,10,150000,15000,4.0,250000.0
Other services,South Netherlands,Small,No,2019,12,31,March,Partnership,,100,Yes,1,0,0,0,Yes,100,No,Yes,2016,5,2016,4,Yes,50,Post-graduate degree (Master or Doctorate),No,Yes,No,,Yes,No,No,No,Yes,No obstacle,Hotel or restaurant,"Restaurant&Catering Dishes, Aimed At Allowing Temporary Workers Of Foreign Origin To Move On After A Training",100,585000.0,Five Hundred Eighty Five Thousand,620000,97,0,3,0,100,0,0,No losses,40,60,Manual search of suppliers without storing supplierâs information in centralized database,Don't know (spontaneous),No,Yes,No,No obstacle,Moderate obstacle,Don't know (spontaneous),Yes,Don't know (spontaneous),Yes,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,Too many to count,No,Yes,Moderate obstacle,No,0,,,Yes,Optimized Purchasing Process And Tighten The Time For Meals,Brand New To Increase Efficiency,Yes,4000.0,1,100,100,Yes,No obstacle,No,No,No obstacle,60,40,0,0,0,No,Yes,Yes,Yes,No,No,No,No obstacle,Strongly agree,5,No,Yes,Strongly agree,Strongly agree,Strongly agree,No,0.0,No,No,Minor impact,No impact,Modedate impact,1,,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,Moderate obstacle,No obstacle,9,3,1,4,8,7,5,2,6,4,4,Below required,As required,Below required,Does not apply (spontaneous),Does not apply (spontaneous),Below required,7,3,6,4,2,1,5,5,Yes,No,7,3,6,4,2,1,5,Major obstacle,No obstacle,Labor regulations,9,10,13,14,3,11,5,2,12,15,7,6,1,4,8,90805,11000,12.0,0.0
Retail services,North Netherlands,Small,Yes,2019,12,31,July,Partnership,,100,Yes,None (This is the first),0,0,0,Yes,100,No,No,1971,2,1971,14,No,49,Secondary/technical/vocational training,Yes,No,No,,No,No,No,No,Yes,No obstacle,Retail trade of ,Sale Of Parties And Toys For All Ages,100,900000.0,Nine Hundred  Thousand,825000,100,0,0,0,100,0,0,2,5,95,Manual search of suppliers without storing supplierâs information in centralized database,Yes,No,No,No,No obstacle,No obstacle,We fixed it but did not take further action,Yes,Yes,No,Non-managers are normally not promoted,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,5.0,Yes,No,No obstacle,Yes,0,There Is An Online Reservation System Per Store. The Customer Can Reserve A Product And Collect It From The Relevant Store. This System Makes It Possible To See Stock Per Store,There Was No Reservation Option And The Customer Had To Inquire About The Stock In Person Or By Telephone,No,,,No,0,0,100,100,No,No obstacle,Yes,Yes,Minor obstacle,0,0,0,0,100,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,1,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,8,4,7,5,2,3,1,9,6,2,2,As required,As required,As required,Below required,Does not apply (spontaneous),As required,1,6,7,5,2,3,4,No full-time seasonal or temporary workers,No,No,1,6,7,5,2,3,4,No obstacle,No obstacle,Don't know (spontaneous),13,4,7,14,12,3,11,10,6,9,1,2,8,15,5,35000,3500,4.0,0.0
Retail services,North Netherlands,Small,No,2019,12,31,July,Partnership,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,1998,2,1997,23,No,47,Bachelorâs degree,Yes,No,Yes,Crbo,No,No,No,No,Yes,No obstacle,Retail trade of ,Sale Of Parties And Toys,100,985000.0,Nine Hundred Eighty Five Thousand,650000,50,0,50,0,100,0,0,No losses,1,99,Other,No,Yes,Yes,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,5.0,No,Yes,Minor obstacle,Yes,1,"New Products Have Been Added To The Range In The Form Of Adult Merchandise.Figurines, Dolls, Mugs, Can Openers, Etc",Previously These Articles Were Not Offered,Yes,A Super Specialized Website Has Been Introduced. The Software For Distribution Has Been Extensively Adapted To This,They Did Work With A Website But Much More Unstructured Than With The Improved And Fast New Website,Yes,15000.0,0,0,0,No,No obstacle,Yes,Yes,No obstacle,90,0,10,0,0,No,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,No time was spent,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,9,6,3,8,5,7,1,2,6,5,Below required,Above required,As required,Above required,Does not apply (spontaneous),Above required,4,6,2,3,1,5,7,3,Yes,Yes,4,6,2,3,1,5,7,Major obstacle,Very severe obstacle,Inadequately educated workforce,12,13,14,3,15,5,7,1,2,11,6,4,10,8,9,190000,2000,52.0,0.0
Retail services,North Netherlands,Small,No,2019,12,31,August,Partnership,,100,Yes,1,0,0,0,Yes,100,No,Yes,1963,2,1963,30,No,56,Bachelorâs degree,Yes,Yes,No,,No,No,No,No,Yes,No obstacle,Retail trade of ,Perfumery And Beauty Salons,100,1000000.0,One Million,1000000,100,0,0,0,100,0,0,No losses,20,80,Supplier Relation Management software (SRM),No,No,Yes,Yes,No obstacle,Does not apply,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,-7,DOES NOT APPLY (SPONTANEOUS),Local â main product sold mostly in same municipality where establishment is located,2.0,No,Yes,Minor obstacle,Yes,1,New Developments In Treatment Methods In Beauty Salons,Brand New,No,,,Yes,5000.0,0,100,100,No,No obstacle,Yes,Yes,Minor obstacle,100,0,0,0,0,No,Yes,Yes,No,No,No,Yes,No obstacle,Strongly agree,4,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,No impact,No impact,No impact,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,9,7,5,1,4,2,6,3,8,4,5,Does not apply (spontaneous),Above required,As required,As required,Does not apply (spontaneous),Above required,3,7,5,1,4,2,6,3,Yes,Yes,3,7,5,1,4,2,6,No obstacle,No obstacle,Practices of competitors in the informal sector,11,14,5,1,13,2,10,3,8,6,12,9,4,15,7,95000,10000,8.0,0.0
Other services,West Netherlands,Small,No,2019,12,31,May,Shareholding company with non-traded shares or shares traded privately,,32,Yes,None (This is the first),0,0,0,No,32,No,Yes,2016,2,2012,5,No,45,Post-graduate degree (Master or Doctorate),Yes,No,No,,No,No,No,No,Yes,No obstacle,Wholesale trade of ,"Importing Lifestyle Brands From The Eu, Storage, Sale And Distribution Of Luxury Items",70,2100000.0,Two Million One Hundred Thousand,1000000,0,5,70,25,70,21,9,No losses,40,60,Supplier Relation Management software (SRM),Yes,No,No,No,Minor obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,-7,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,1.0,No,Don't know (spontaneous),No obstacle,Yes,1,"Ordering&Delivery Process Streamlined For The Benefit Of Customers, To Deliver A Larger Variety Of Products At Once&Also Taking Care Customers Sales&Distribution,So Customers Have Less Worries Themselves",The Customer Can Order Different Brands In Combination Instead Of As Before Per Brand And The Care For Customers Sales And Distribution Is A New Service,Yes,Taking Care Of The Sale And Distribution Of Manufacturing Brands In An Efficient Way,New Flow,Yes,5000.0,0,0,0,No,No obstacle,No,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,No time was spent,No,Yes,Don't know (spontaneous),Don't know (spontaneous),Does not apply,No,0.0,No,No,No impact,No impact,No impact,1,,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,6,5,4,8,9,7,1,2,3,12,7,As required,Above required,As required,As required,Does not apply (spontaneous),Above required,4,5,3,2,6,7,1,4,Yes,Yes,4,5,3,2,6,7,1,No obstacle,No obstacle,Access to finance,13,5,14,8,9,11,6,2,12,15,7,3,10,1,4,435000,0,8.0,0.0
Retail services,South Netherlands,Small,No,2019,12,31,December,Partnership,,100,No,None (This is the first),0,0,0,Yes,100,No,Yes,1992,1,1992,30,No,52,Secondary/technical/vocational training,Yes,No,No,,No,No,No,No,Yes,No obstacle,Retail trade of ,Tobacco Sales.,13,1600000.0,One Million Six Hundred Thousand,1500000,99,1,0,0,90,10,0,No losses,30,70,E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,No,No,No obstacle,No obstacle,We fixed it but did not take further action,Yes,Yes,No,Non-managers are normally not promoted,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,3.0,No,No,No obstacle,No,0,,,No,,,No,0,1,0,0,No,No obstacle,Yes,Yes,No obstacle,0,0,100,0,0,No,Yes,Yes,Yes,No,No,No,No obstacle,Tend to disagree,1,No,Yes,Tend to agree,Don't know (spontaneous),Does not apply,No,0.0,No,No,No impact,No impact,No impact,1,Subsidy For Employee Due To Age,Major obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,3,9,1,2,6,5,7,8,5,5,Above required,As required,As required,As required,Does not apply (spontaneous),As required,1,3,4,7,2,6,5,1,Yes,No,1,3,4,7,2,6,5,Moderate obstacle,No obstacle,Customs and trade regulations,4,3,9,13,10,11,1,12,8,15,6,14,2,7,5,60000,5500,26.0,0.0
